,year,station_id,month,day,date,delta_stage_max,index,delta_stage_max_predicted
0,1993,3019,4,111,1993-04-21,,3019,3.2438126
1,1993,3019,4,112,1993-04-22,,3019,3.6709023
2,1993,3019,4,113,1993-04-23,,3019,-24.958355
3,1993,3019,4,114,1993-04-24,,3019,5.5508766
4,1993,3019,4,115,1993-04-25,,3019,22.360085
5,1993,3019,4,116,1993-04-26,,3019,29.295319
6,1993,3019,4,117,1993-04-27,,3019,34.170536
7,1997,3019,4,111,1997-04-21,,3019,1.381897
8,1997,3019,4,112,1997-04-22,,3019,8.488209
9,1997,3019,4,113,1997-04-23,,3019,3.2846642
10,1997,3019,4,114,1997-04-24,,3019,15.914772
11,1997,3019,4,115,1997-04-25,,3019,19.25338
12,1997,3019,4,116,1997-04-26,,3019,28.667107
13,1997,3019,4,117,1997-04-27,,3019,57.003036
14,2001,3019,4,111,2001-04-21,,3019,-16.01651
15,2001,3019,4,112,2001-04-22,,3019,-3.119217
16,2001,3019,4,113,2001-04-23,,3019,-2.5676994
17,2001,3019,4,114,2001-04-24,,3019,18.839184
18,2001,3019,4,115,2001-04-25,,3019,13.855473
19,2001,3019,4,116,2001-04-26,,3019,7.177574
20,2001,3019,4,117,2001-04-27,,3019,0.15744019
21,2012,3019,4,112,2012-04-21,,3019,2.4778671
22,2012,3019,4,113,2012-04-22,,3019,1.7632332
23,2012,3019,4,114,2012-04-23,,3019,-3.5589714
24,2012,3019,4,115,2012-04-24,,3019,11.065773
25,2012,3019,4,116,2012-04-25,,3019,-17.784824
26,2012,3019,4,117,2012-04-26,,3019,24.060501
27,2012,3019,4,118,2012-04-27,,3019,29.34748
28,1993,3027,4,111,1993-04-21,,3027,13.6924515
29,1993,3027,4,112,1993-04-22,,3027,19.047089
30,1993,3027,4,113,1993-04-23,,3027,-38.565224
31,1993,3027,4,114,1993-04-24,,3027,11.910652
32,1993,3027,4,115,1993-04-25,,3027,31.690369
33,1993,3027,4,116,1993-04-26,,3027,49.26467
34,1993,3027,4,117,1993-04-27,,3027,44.156616
35,1997,3027,4,111,1997-04-21,,3027,8.68573
36,1997,3027,4,112,1997-04-22,,3027,4.302109
37,1997,3027,4,113,1997-04-23,,3027,-23.523926
38,1997,3027,4,114,1997-04-24,,3027,17.625977
39,1997,3027,4,115,1997-04-25,,3027,41.98484
40,1997,3027,4,116,1997-04-26,,3027,49.93387
41,1997,3027,4,117,1997-04-27,,3027,151.48273
42,2001,3027,4,111,2001-04-21,,3027,-8.01709
43,2001,3027,4,112,2001-04-22,,3027,13.904434
44,2001,3027,4,113,2001-04-23,,3027,-5.0822983
45,2001,3027,4,114,2001-04-24,,3027,5.6334076
46,2001,3027,4,115,2001-04-25,,3027,15.593376
47,2001,3027,4,116,2001-04-26,,3027,10.47142
48,2001,3027,4,117,2001-04-27,,3027,1.336647
49,2004,3027,4,112,2004-04-21,,3027,1.794281
50,2004,3027,4,113,2004-04-22,,3027,-1.9657135
51,2004,3027,4,114,2004-04-23,,3027,-0.08882141
52,2004,3027,4,115,2004-04-24,,3027,1.7770844
53,2004,3027,4,116,2004-04-25,,3027,13.400253
54,2004,3027,4,117,2004-04-26,,3027,-13.340439
55,2004,3027,4,118,2004-04-27,,3027,18.39624
56,2012,3027,4,112,2012-04-21,,3027,-24.067368
57,2012,3027,4,113,2012-04-22,,3027,15.868927
58,2012,3027,4,114,2012-04-23,,3027,11.524002
59,2012,3027,4,115,2012-04-24,,3027,12.301987
60,2012,3027,4,116,2012-04-25,,3027,-6.9360046
61,2012,3027,4,117,2012-04-26,,3027,39.865036
62,2012,3027,4,118,2012-04-27,,3027,56.65918
63,1997,3028,4,111,1997-04-21,,3028,6.412567
64,1997,3028,4,112,1997-04-22,,3028,3.72464
65,1997,3028,4,113,1997-04-23,,3028,12.53157
66,1997,3028,4,114,1997-04-24,,3028,3.5713043
67,1997,3028,4,115,1997-04-25,,3028,39.098328
68,1997,3028,4,116,1997-04-26,,3028,24.153961
69,1997,3028,4,117,1997-04-27,,3028,116.8208
70,2001,3028,4,111,2001-04-21,,3028,6.312317
71,2001,3028,4,112,2001-04-22,,3028,-1.7509766
72,2001,3028,4,113,2001-04-23,,3028,25.198334
73,2001,3028,4,114,2001-04-24,,3028,-2.3587341
74,2001,3028,4,115,2001-04-25,,3028,-0.18612671
75,2001,3028,4,116,2001-04-26,,3028,4.4601135
76,2001,3028,4,117,2001-04-27,,3028,9.57373
77,2004,3028,4,112,2004-04-21,,3028,7.865906
78,2004,3028,4,113,2004-04-22,,3028,2.778717
79,2004,3028,4,114,2004-04-23,,3028,9.086426
80,2004,3028,4,115,2004-04-24,,3028,-0.048919678
81,2004,3028,4,116,2004-04-25,,3028,-13.95282
82,2004,3028,4,117,2004-04-26,,3028,-6.6707153
83,2004,3028,4,118,2004-04-27,,3028,21.99582
84,2012,3028,4,112,2012-04-21,,3028,-0.7312622
85,2012,3028,4,113,2012-04-22,,3028,-4.434494
86,2012,3028,4,114,2012-04-23,,3028,22.445496
87,2012,3028,4,115,2012-04-24,,3028,11.766296
88,2012,3028,4,116,2012-04-25,,3028,16.66246
89,2012,3028,4,117,2012-04-26,,3028,36.131363
90,2012,3028,4,118,2012-04-27,,3028,24.022217
91,1993,3029,4,111,1993-04-21,,3029,2.9213715
92,1993,3029,4,112,1993-04-22,,3029,15.596886
93,1993,3029,4,113,1993-04-23,,3029,3.196045
94,1993,3029,4,114,1993-04-24,,3029,-5.3880386
95,1993,3029,4,115,1993-04-25,,3029,63.445755
96,1993,3029,4,116,1993-04-26,,3029,37.44345
97,1993,3029,4,117,1993-04-27,,3029,43.8416
98,1997,3029,4,111,1997-04-21,,3029,12.546051
99,1997,3029,4,112,1997-04-22,,3029,12.640854
100,1997,3029,4,113,1997-04-23,,3029,-3.9381409
101,1997,3029,4,114,1997-04-24,,3029,21.49984
102,1997,3029,4,115,1997-04-25,,3029,41.327522
103,1997,3029,4,116,1997-04-26,,3029,47.36685
104,1997,3029,4,117,1997-04-27,,3029,116.40811
105,2001,3029,4,111,2001-04-21,,3029,1.7761993
106,2001,3029,4,112,2001-04-22,,3029,-10.941116
107,2001,3029,4,113,2001-04-23,,3029,-7.783348
108,2001,3029,4,114,2001-04-24,,3029,9.82151
109,2001,3029,4,115,2001-04-25,,3029,-4.086258
110,2001,3029,4,116,2001-04-26,,3029,23.080841
111,2001,3029,4,117,2001-04-27,,3029,15.013351
112,2004,3029,4,112,2004-04-21,,3029,6.203003
113,2004,3029,4,113,2004-04-22,,3029,8.869156
114,2004,3029,4,114,2004-04-23,,3029,4.084259
115,2004,3029,4,115,2004-04-24,,3029,2.6381989
116,2004,3029,4,116,2004-04-25,,3029,7.7197876
117,2004,3029,4,117,2004-04-26,,3029,7.3789062
118,2004,3029,4,118,2004-04-27,,3029,-1.1822357
119,2012,3029,4,112,2012-04-21,,3029,-16.389023
120,2012,3029,4,113,2012-04-22,,3029,-12.397095
121,2012,3029,4,114,2012-04-23,,3029,45.004257
122,2012,3029,4,115,2012-04-24,,3029,-16.121689
123,2012,3029,4,116,2012-04-25,,3029,33.521606
124,2012,3029,4,117,2012-04-26,,3029,58.736115
125,2012,3029,4,118,2012-04-27,,3029,41.61432
126,1993,3030,4,111,1993-04-21,,3030,-4.926979
127,1993,3030,4,112,1993-04-22,,3030,-6.2241745
128,1993,3030,4,113,1993-04-23,,3030,-3.3428574
129,1993,3030,4,114,1993-04-24,,3030,62.882576
130,1993,3030,4,115,1993-04-25,,3030,-18.982376
131,1993,3030,4,116,1993-04-26,,3030,-6.553177
132,1993,3030,4,117,1993-04-27,,3030,24.432663
133,1997,3030,4,111,1997-04-21,,3030,10.283722
134,1997,3030,4,112,1997-04-22,,3030,4.4447174
135,1997,3030,4,113,1997-04-23,,3030,20.861267
136,1997,3030,4,114,1997-04-24,,3030,-15.851746
137,1997,3030,4,115,1997-04-25,,3030,43.25801
138,1997,3030,4,116,1997-04-26,,3030,57.937485
139,1997,3030,4,117,1997-04-27,,3030,196.7688
140,2001,3030,4,111,2001-04-21,,3030,0.6896286
141,2001,3030,4,112,2001-04-22,,3030,-31.271706
142,2001,3030,4,113,2001-04-23,,3030,36.70411
143,2001,3030,4,114,2001-04-24,,3030,-37.2705
144,2001,3030,4,115,2001-04-25,,3030,25.939148
145,2001,3030,4,116,2001-04-26,,3030,9.412216
146,2001,3030,4,117,2001-04-27,,3030,-1.6811676
147,2004,3030,4,112,2004-04-21,,3030,-2.757904
148,2004,3030,4,113,2004-04-22,,3030,-3.1747437
149,2004,3030,4,114,2004-04-23,,3030,14.713684
150,2004,3030,4,115,2004-04-24,,3030,-4.0864563
151,2004,3030,4,116,2004-04-25,,3030,-5.6568756
152,2004,3030,4,117,2004-04-26,,3030,-1.5216217
153,2004,3030,4,118,2004-04-27,,3030,6.7640076
154,2012,3030,4,112,2012-04-21,,3030,-30.914612
155,2012,3030,4,113,2012-04-22,,3030,7.1418
156,2012,3030,4,114,2012-04-23,,3030,14.683762
157,2012,3030,4,115,2012-04-24,,3030,16.695198
158,2012,3030,4,116,2012-04-25,,3030,30.167648
159,2012,3030,4,117,2012-04-26,,3030,52.84153
160,2012,3030,4,118,2012-04-27,,3030,12.000641
161,1993,3035,4,111,1993-04-21,,3035,-13.129639
162,1993,3035,4,112,1993-04-22,,3035,15.786247
163,1993,3035,4,113,1993-04-23,,3035,38.3451
164,1993,3035,4,114,1993-04-24,,3035,-68.93211
165,1993,3035,4,115,1993-04-25,,3035,-8.80159
166,1993,3035,4,116,1993-04-26,,3035,65.62201
167,1993,3035,4,117,1993-04-27,,3035,144.24277
168,1997,3035,4,111,1997-04-21,,3035,16.27195
169,1997,3035,4,112,1997-04-22,,3035,-1.3796539
170,1997,3035,4,113,1997-04-23,,3035,-15.368477
171,1997,3035,4,114,1997-04-24,,3035,-0.81214905
172,1997,3035,4,115,1997-04-25,,3035,3.5482635
173,1997,3035,4,116,1997-04-26,,3035,82.89476
174,1997,3035,4,117,1997-04-27,,3035,205.6189
175,2001,3035,4,111,2001-04-21,,3035,-9.05098
176,2001,3035,4,112,2001-04-22,,3035,15.924759
177,2001,3035,4,113,2001-04-23,,3035,-28.898575
178,2001,3035,4,114,2001-04-24,,3035,16.6818
179,2001,3035,4,115,2001-04-25,,3035,2.6130524
180,2001,3035,4,116,2001-04-26,,3035,54.30201
181,2001,3035,4,117,2001-04-27,,3035,40.7592
182,2004,3035,4,112,2004-04-21,,3035,-4.5516663
183,2004,3035,4,113,2004-04-22,,3035,-7.526596
184,2004,3035,4,114,2004-04-23,,3035,-4.9078674
185,2004,3035,4,115,2004-04-24,,3035,14.097748
186,2004,3035,4,116,2004-04-25,,3035,9.354248
187,2004,3035,4,117,2004-04-26,,3035,-8.989471
188,2004,3035,4,118,2004-04-27,,3035,-11.455414
189,2012,3035,4,112,2012-04-21,,3035,16.929077
190,2012,3035,4,113,2012-04-22,,3035,-5.1045837
191,2012,3035,4,114,2012-04-23,,3035,7.688141
192,2012,3035,4,115,2012-04-24,,3035,-17.552933
193,2012,3035,4,116,2012-04-25,,3035,-24.29332
194,2012,3035,4,117,2012-04-26,,3035,29.212051
195,2012,3035,4,118,2012-04-27,,3035,82.65155
196,1993,3041,4,111,1993-04-21,,3041,-0.6418381
197,1993,3041,4,112,1993-04-22,,3041,1.6038742
198,1993,3041,4,113,1993-04-23,,3041,-18.725395
199,1993,3041,4,114,1993-04-24,,3041,7.3020706
200,1993,3041,4,115,1993-04-25,,3041,6.435547
201,1993,3041,4,116,1993-04-26,,3041,40.28414
202,1993,3041,4,117,1993-04-27,,3041,25.66092
203,1997,3041,4,111,1997-04-21,,3041,4.5704193
204,1997,3041,4,112,1997-04-22,,3041,-0.5386734
205,1997,3041,4,113,1997-04-23,,3041,-12.199379
206,1997,3041,4,114,1997-04-24,,3041,4.101692
207,1997,3041,4,115,1997-04-25,,3041,44.978073
208,1997,3041,4,116,1997-04-26,,3041,31.115173
209,1997,3041,4,117,1997-04-27,,3041,144.92023
210,2001,3041,4,111,2001-04-21,,3041,-4.3084717
211,2001,3041,4,112,2001-04-22,,3041,-1.7733917
212,2001,3041,4,113,2001-04-23,,3041,7.294464
213,2001,3041,4,114,2001-04-24,,3041,-0.758728
214,2001,3041,4,115,2001-04-25,,3041,2.6672516
215,2001,3041,4,116,2001-04-26,,3041,-5.9927826
216,2001,3041,4,117,2001-04-27,,3041,-11.169449
217,2004,3041,4,112,2004-04-21,,3041,3.1290436
218,2004,3041,4,113,2004-04-22,,3041,0.10971069
219,2004,3041,4,114,2004-04-23,,3041,-7.2805023
220,2004,3041,4,115,2004-04-24,,3041,-14.020645
221,2004,3041,4,116,2004-04-25,,3041,10.635956
222,2004,3041,4,117,2004-04-26,,3041,2.6542206
223,2004,3041,4,118,2004-04-27,,3041,0.17884827
224,2012,3041,4,112,2012-04-21,,3041,1.5155182
225,2012,3041,4,113,2012-04-22,,3041,13.762077
226,2012,3041,4,114,2012-04-23,,3041,-25.894165
227,2012,3041,4,115,2012-04-24,,3041,32.510513
228,2012,3041,4,116,2012-04-25,,3041,-5.078476
229,2012,3041,4,117,2012-04-26,,3041,39.18811
230,2012,3041,4,118,2012-04-27,,3041,32.619247
231,1993,3045,4,111,1993-04-21,,3045,-11.705063
232,1993,3045,4,112,1993-04-22,,3045,-7.0594177
233,1993,3045,4,113,1993-04-23,,3045,38.74364
234,1993,3045,4,114,1993-04-24,,3045,-3.054821
235,1993,3045,4,115,1993-04-25,,3045,-7.1625824
236,1993,3045,4,116,1993-04-26,,3045,-0.45156097
237,1993,3045,4,117,1993-04-27,,3045,5.683098
238,1997,3045,4,111,1997-04-21,,3045,22.643951
239,1997,3045,4,112,1997-04-22,,3045,12.413361
240,1997,3045,4,113,1997-04-23,,3045,7.4834976
241,1997,3045,4,114,1997-04-24,,3045,-0.37716675
242,1997,3045,4,115,1997-04-25,,3045,56.045532
243,1997,3045,4,116,1997-04-26,,3045,25.240509
244,1997,3045,4,117,1997-04-27,,3045,129.63736
245,2001,3045,4,111,2001-04-21,,3045,-7.937805
246,2001,3045,4,112,2001-04-22,,3045,13.202835
247,2001,3045,4,113,2001-04-23,,3045,7.8773193
248,2001,3045,4,114,2001-04-24,,3045,9.635635
249,2001,3045,4,115,2001-04-25,,3045,-10.983353
250,2001,3045,4,116,2001-04-26,,3045,0.8806915
251,2001,3045,4,117,2001-04-27,,3045,-14.916412
252,2004,3045,4,112,2004-04-21,,3045,1.4884262
253,2004,3045,4,113,2004-04-22,,3045,-9.540314
254,2004,3045,4,114,2004-04-23,,3045,2.5906677
255,2004,3045,4,115,2004-04-24,,3045,2.668663
256,2004,3045,4,116,2004-04-25,,3045,10.1369095
257,2004,3045,4,117,2004-04-26,,3045,-5.240135
258,2004,3045,4,118,2004-04-27,,3045,14.598526
259,2012,3045,4,112,2012-04-21,,3045,-41.711227
260,2012,3045,4,113,2012-04-22,,3045,-5.07782
261,2012,3045,4,114,2012-04-23,,3045,17.360413
262,2012,3045,4,115,2012-04-24,,3045,8.949661
263,2012,3045,4,116,2012-04-25,,3045,4.770569
264,2012,3045,4,117,2012-04-26,,3045,51.7063
265,2012,3045,4,118,2012-04-27,,3045,-5.450485
266,1993,3050,4,111,1993-04-21,,3050,16.54715
267,1993,3050,4,112,1993-04-22,,3050,14.593994
268,1993,3050,4,113,1993-04-23,,3050,-32.75551
269,1993,3050,4,114,1993-04-24,,3050,38.346695
270,1993,3050,4,115,1993-04-25,,3050,22.164658
271,1993,3050,4,116,1993-04-26,,3050,-4.6996
272,1993,3050,4,117,1993-04-27,,3050,2.4418488
273,1997,3050,4,111,1997-04-21,,3050,12.9240265
274,1997,3050,4,112,1997-04-22,,3050,13.901215
275,1997,3050,4,113,1997-04-23,,3050,19.087723
276,1997,3050,4,114,1997-04-24,,3050,12.8125305
277,1997,3050,4,115,1997-04-25,,3050,12.5017395
278,1997,3050,4,116,1997-04-26,,3050,48.8869
279,1997,3050,4,117,1997-04-27,,3050,118.00156
280,2001,3050,4,111,2001-04-21,,3050,1.9213715
281,2001,3050,4,112,2001-04-22,,3050,4.1164246
282,2001,3050,4,113,2001-04-23,,3050,24.898605
283,2001,3050,4,114,2001-04-24,,3050,1.3878021
284,2001,3050,4,115,2001-04-25,,3050,7.11084
285,2001,3050,4,116,2001-04-26,,3050,0.11071777
286,2001,3050,4,117,2001-04-27,,3050,-4.78685
287,2004,3050,4,112,2004-04-21,,3050,8.181641
288,2004,3050,4,113,2004-04-22,,3050,-4.087921
289,2004,3050,4,114,2004-04-23,,3050,1.3239441
290,2004,3050,4,115,2004-04-24,,3050,1.5447693
291,2004,3050,4,116,2004-04-25,,3050,2.635254
292,2004,3050,4,117,2004-04-26,,3050,0.99661255
293,2004,3050,4,118,2004-04-27,,3050,11.55545
294,2012,3050,4,112,2012-04-21,,3050,-12.661194
295,2012,3050,4,113,2012-04-22,,3050,13.796585
296,2012,3050,4,114,2012-04-23,,3050,-19.00319
297,2012,3050,4,115,2012-04-24,,3050,34.145035
298,2012,3050,4,116,2012-04-25,,3050,34.260544
299,2012,3050,4,117,2012-04-26,,3050,26.13594
300,2012,3050,4,118,2012-04-27,,3050,18.551239
301,1993,3230,4,111,1993-04-21,,3230,-5.7854767
302,1993,3230,4,112,1993-04-22,,3230,8.769348
303,1993,3230,4,113,1993-04-23,,3230,-35.21985
304,1993,3230,4,114,1993-04-24,,3230,71.45151
305,1993,3230,4,115,1993-04-25,,3230,33.515656
306,1993,3230,4,116,1993-04-26,,3230,28.031494
307,1993,3230,4,117,1993-04-27,,3230,32.08548
308,1997,3230,4,111,1997-04-21,,3230,0.8675537
309,1997,3230,4,112,1997-04-22,,3230,3.2376556
310,1997,3230,4,113,1997-04-23,,3230,18.66333
311,1997,3230,4,114,1997-04-24,,3230,12.1586
312,1997,3230,4,115,1997-04-25,,3230,43.660843
313,1997,3230,4,116,1997-04-26,,3230,66.81836
314,1997,3230,4,117,1997-04-27,,3230,169.53479
315,2001,3230,4,111,2001-04-21,,3230,-3.2621613
316,2001,3230,4,112,2001-04-22,,3230,15.856705
317,2001,3230,4,113,2001-04-23,,3230,17.053146
318,2001,3230,4,114,2001-04-24,,3230,-20.671158
319,2001,3230,4,115,2001-04-25,,3230,14.844467
320,2001,3230,4,116,2001-04-26,,3230,-10.122131
321,2001,3230,4,117,2001-04-27,,3230,7.11145
322,2004,3230,4,112,2004-04-21,,3230,4.2020264
323,2004,3230,4,113,2004-04-22,,3230,4.282501
324,2004,3230,4,114,2004-04-23,,3230,1.9246826
325,2004,3230,4,115,2004-04-24,,3230,-2.4117126
326,2004,3230,4,116,2004-04-25,,3230,15.289856
327,2004,3230,4,117,2004-04-26,,3230,-9.0086975
328,2004,3230,4,118,2004-04-27,,3230,-24.67508
329,2012,3230,4,112,2012-04-21,,3230,24.772614
330,2012,3230,4,113,2012-04-22,,3230,-1.1318817
331,2012,3230,4,114,2012-04-23,,3230,58.59297
332,2012,3230,4,115,2012-04-24,,3230,44.66237
333,2012,3230,4,116,2012-04-25,,3230,49.451477
334,2012,3230,4,117,2012-04-26,,3230,74.882904
335,2012,3230,4,118,2012-04-27,,3230,-6.9203186
336,1989,3019,4,118,1989-04-28,,3019,-20.010002
337,1989,3019,4,119,1989-04-29,,3019,18.169926
338,1989,3019,4,120,1989-04-30,,3019,12.292854
339,1989,3019,5,121,1989-05-01,,3019,3.876255
340,1989,3019,5,122,1989-05-02,,3019,4.3884087
341,1989,3019,5,123,1989-05-03,,3019,6.1552353
342,1989,3019,5,124,1989-05-04,,3019,13.369438
343,2003,3019,4,118,2003-04-28,,3019,113.05939
344,2003,3019,4,119,2003-04-29,,3019,-77.72423
345,2003,3019,4,120,2003-04-30,,3019,-10.581615
346,2003,3019,5,121,2003-05-01,,3019,6.6171913
347,2003,3019,5,122,2003-05-02,,3019,-3.7424774
348,2003,3019,5,123,2003-05-03,,3019,-26.253147
349,2003,3019,5,124,2003-05-04,,3019,5.35466
350,2005,3019,4,118,2005-04-28,,3019,153.70944
351,2005,3019,4,119,2005-04-29,,3019,-96.33008
352,2005,3019,4,120,2005-04-30,,3019,-23.751358
353,2005,3019,5,121,2005-05-01,,3019,-10.437241
354,2005,3019,5,122,2005-05-02,,3019,0.593338
355,2005,3019,5,123,2005-05-03,,3019,-19.990402
356,2005,3019,5,124,2005-05-04,,3019,-10.349136
357,2013,3019,4,118,2013-04-28,,3019,109.919624
358,2013,3019,4,119,2013-04-29,,3019,-60.023064
359,2013,3019,4,120,2013-04-30,,3019,-18.366837
360,2013,3019,5,121,2013-05-01,,3019,-13.734268
361,2013,3019,5,122,2013-05-02,,3019,-7.2906723
362,2013,3019,5,123,2013-05-03,,3019,-2.7055588
363,2013,3019,5,124,2013-05-04,,3019,6.5786514
364,1989,3027,4,118,1989-04-28,,3027,-109.254166
365,1989,3027,4,119,1989-04-29,,3027,108.89342
366,1989,3027,4,120,1989-04-30,,3027,9.958176
367,1989,3027,5,121,1989-05-01,,3027,8.241165
368,1989,3027,5,122,1989-05-02,,3027,1.251236
369,1989,3027,5,123,1989-05-03,,3027,18.108917
370,1989,3027,5,124,1989-05-04,,3027,-0.6215973
371,2003,3027,4,118,2003-04-28,,3027,152.82283
372,2003,3027,4,119,2003-04-29,,3027,-124.81406
373,2003,3027,4,120,2003-04-30,,3027,-37.32228
374,2003,3027,5,121,2003-05-01,,3027,6.614311
